_id,Items,Item1,Item2,Item3,Item4
65df7b016a5b35d1322554bc,4,citrus fruit,Apple,Mango,Banana
65df7bee6a5b35d1322554bd,3,Strawberries,Avocados,Bell Peppers,
65df7ca56a5b35d1322554be,3,Carrot,Garlic,Lemons/Limes,
65df7d036a5b35d1322554bf,3,Parsley,Cilantro,Potatoes,
65df7d7f6a5b35d1322554c0,3,Spinach,Tomatoes,Onion,
65df8c8cd4512dff123c677a,3,Breadcrumbs,Pasta,Rice,
65df8da5d4512dff123c677b,3,Chicken,Egg,Sandwich,
65df8de6d4512dff123c677c,3,Butter,Cheese,Milk,
65df8e4bd4512dff123c677d,3,Bakingpowder,Baking soda,Brownsugar,
65df8e9ad4512dff123c677e,3,Fruit and Berries,Pizza,Juice Concentrate,
65df8ef4d4512dff123c677f,3,Black pepper,Chili powder,Cinnamon,
65df8f48d4512dff123c6780,3,Ketchup,Mustard,Mayo,
65df9044d4512dff123c6781,3,Apple cider vinegar,Balsamic vinegar,Balsamic vinegar,
65df9094d4512dff123c6782,3,Coconut oil,Olive oil,Canola oil,
65df90d9d4512dff123c6783,3,Nuts,Quick oats,Popcorn,
65df911cd4512dff123c6784,3,Maggie,Noodles,CupNoodles,
65df916bd4512dff123c6785,3,Thumbsup,Sprite,Cocacola,
